,age,sex,eduyear,employed,income,votepark,lovepark,conserv,lifehappy
315,46,0,12,0,120,1,0.5,3.299999952,3
317,36,1,14,1,440,0,0,2,4
319,38,1,14,1,380,0,0,3.599999905,4
323,89,1,16,0,1000,1,0.699999988,3.400000095,4
325,45,1,23,1,1000,0,0.300000012,3.5,3
326,42,0,16,1,700,0,0,1.799999952,4
327,77,1,16,0,400,1,1,3.5,5
328,32,0,16,0,400,0,0,3.099999905,3
329,31,1,16,1,500,0,0,2.700000048,4
332,81,0,16,0,250,1,1,3.700000048,5
333,79,0,6,0,800,1,0.5,2.700000048,4
335,55,1,23,1,900,0,0,1.700000048,4
339,45,1,14,1,300,1,0.699999988,3.099999905,5
341,52,1,16,1,500,1,0.5,2.799999952,3
345,43,1,16,1,850,1,0.300000012,3.700000048,4
346,59,1,6,0,230,1,0.5,3,5
348,24,1,16,0,200,0,0.300000012,3,4
350,62,1,16,1,1000,0,0,3.099999905,5
351,68,0,18,0,550,0,0.300000012,1.899999976,4
352,46,0,12,1,900,1,0.5,3,4
353,67,0,16,0,250,1,0.300000012,2.200000048,3
354,58,0,18,1,560,1,0.5,3.099999905,5
356,46,1,16,1,700,0,0,1.700000048,4
358,71,1,12,1,72,1,0.5,4,3
359,48,0,12,0,550,1,0.5,3.099999905,5
360,70,0,16,0,400,1,0.699999988,2.700000048,4
361,47,0,16,1,550,0,0,3,4
363,25,1,14,0,200,0,0.300000012,2.900000095,3
364,49,0,14,0,500,1,0,3,4
366,32,0,18,1,300,1,0,2.599999905,3
367,29,1,16,1,280,0,0,3,3
368,62,0,9,1,140,1,0.699999988,2.799999952,3
369,68,0,12,0,100,1,0.699999988,3.400000095,3
370,50,0,12,1,440,1,0.699999988,2.900000095,3
371,25,1,12,1,170,0,0.300000012,3,4
372,33,0,12,1,250,0,0,3.400000095,3
373,59,0,9,0,100,1,0.699999988,3.5,4
377,37,1,12,1,450,1,0.300000012,2.700000048,2
378,80,1,12,0,70,0,0.5,3.900000095,4
379,60,0,6,0,400,1,0.5,3,3
380,60,1,14,1,80,1,0.5,3,3
381,36,1,16,1,380,0,0.300000012,3,3
383,49,0,12,0,280,0,0.5,2.900000095,3
384,37,0,12,1,180,0,0,3,2
385,38,1,16,1,500,0,0.300000012,3,2
386,56,1,16,1,300,1,0.699999988,3.299999952,4
387,26,1,16,1,240,0,0.300000012,2.900000095,3
389,21,0,16,0,280,0,0.300000012,3.099999905,3
390,34,1,14,1,200,0,0.5,2.900000095,3
391,62,0,16,0,180,1,0.5,2.700000048,4
392,43,1,16,1,420,0,0.300000012,3.099999905,3
393,60,1,9,1,500,1,0.300000012,2.799999952,4
395,63,0,12,0,300,1,0.5,3.299999952,3
396,52,0,12,1,1250,1,0.300000012,3.799999952,5
397,80,0,6,0,125,1,0.5,3.700000048,5
398,78,1,16,0,80,1,1,4.099999905,4
399,40,1,14,1,350,0,0,2.200000048,4
400,75,0,16,0,300,1,0.5,3.599999905,3
401,64,1,12,1,200,1,0.699999988,3.799999952,3
403,49,1,12,1,1080,0,0,3.099999905,4
404,28,1,14,1,1250,1,0.699999988,3.700000048,3
405,25,1,16,0,250,0,0,2.799999952,1
406,49,1,14,1,445,1,0.5,3.299999952,3
407,39,0,16,0,530,0,0.5,3.200000048,5
408,24,1,16,0,280,1,0.699999988,3.700000048,5
411,47,1,16,1,710,0,0.5,3.599999905,5
412,74,0,6,0,200,1,1,3.400000095,5
413,47,1,14,1,400,0,0.300000012,2.200000048,4
414,75,0,9,0,90,1,1,2.700000048,5
416,37,1,16,1,420,0,0.300000012,3,3
417,72,0,9,0,54,1,1,3.099999905,5
419,70,0,16,0,28,1,0.5,2.900000095,4
423,79,1,16,0,96,1,1,3.5,4
425,49,1,9,0,120,0,0.300000012,3.099999905,5
428,53,1,14,1,700,1,0.699999988,3.700000048,4
429,23,1,16,0,1200,0,0,2.200000048,4
430,28,0,16,1,700,0,0.300000012,2.900000095,5
431,48,0,18,1,1100,0,0,3,2
432,49,0,12,1,500,0,0.300000012,2.599999905,3
433,77,1,9,0,0,1,1,3,3
434,44,0,12,1,500,1,0.5,3,4
435,69,1,12,1,500,1,0.5,3,3
436,41,0,16,1,1030,0,0.300000012,2.200000048,4
437,47,1,16,1,860,0,0,2.099999905,3
438,44,1,18,1,1400,0,0,2.099999905,4
439,53,0,16,0,1000,1,0.5,3,4
440,55,0,12,0,450,1,0.300000012,3.200000048,3
442,55,1,18,1,300,1,0.300000012,3.099999905,4
443,49,1,18,1,1030,1,0,2.900000095,4
444,52,0,16,0,1300,0,0.300000012,1.299999952,4
445,50,0,16,0,550,1,0.699999988,2.599999905,5
447,25,1,16,0,2000,1,0.5,3.700000048,5
448,58,0,12,0,680,1,0.300000012,3.299999952,4
449,38,0,18,1,663,0,0,2.400000095,3
450,45,0,16,1,650,1,0.5,2.599999905,3
451,67,1,18,0,450,1,0.5,3.099999905,3
452,57,1,16,1,400,1,0.699999988,4.900000095,4
453,44,0,16,0,500,0,0,1.600000024,4
455,59,0,14,1,380,0,0.5,2.700000048,2
456,47,1,18,1,650,0,0.300000012,2.200000048,4
457,55,0,14,0,700,1,0.5,3.5,3
460,30,1,16,1,500,0,0,2.5,3
463,64,1,12,1,130,1,0.699999988,3.200000048,3
465,31,0,16,1,450,1,0.300000012,2.400000095,3
466,27,1,16,1,500,0,0,3.299999952,4
468,35,1,16,1,350,1,0.5,2.799999952,3
469,55,1,16,1,800,0,0,2,4
470,25,1,16,0,300,0,0,2.700000048,3
471,55,1,16,0,100,0,0.5,4.099999905,4
473,26,1,16,0,500,0,0.300000012,2.799999952,3
474,61,0,12,0,330,1,0.699999988,3.099999905,5
477,37,1,18,1,500,0,0,1.899999976,4
478,69,1,6,1,34,1,1,3.799999952,3
479,56,1,16,1,357,1,0.699999988,3,4
480,46,1,12,1,800,1,0.5,4,3
481,32,0,12,1,700,0,0.300000012,3.400000095,5
482,65,1,12,1,400,1,1,3.900000095,3
483,49,1,12,1,270,1,0.699999988,2.599999905,5
484,78,1,9,1,200,0,0,3.700000048,3
485,76,0,0,0,20,1,0,3.5,3
486,67,0,9,0,180,1,0.5,3.299999952,2
489,42,0,12,1,300,1,0.699999988,2.900000095,3
490,58,0,16,1,2000,0,0,2.200000048,4
492,48,0,16,1,500,0,0.5,2.900000095,3
493,41,1,18,1,600,0,0,2.5,5
494,35,0,16,1,510,0,1,2.599999905,4
496,39,0,16,0,500,0,0,1.700000048,4
497,47,0,16,0,450,0,0,1.899999976,4
498,48,1,12,1,600,1,0.5,3,4
499,47,0,18,1,500,0,0,2.099999905,4
500,42,0,18,1,1000,0,0,2.400000095,2
